timestamp,market_zone,solar_mw,wind_mw
2026-08-20 00:00:00,SR,0.0,84.26
2026-08-20 00:00:00,WR,0.0,148.56
2026-08-20 01:00:00,SR,0.0,60.84
2026-08-20 01:00:00,WR,0.0,83.04
2026-08-20 02:00:00,SR,0.0,95.71
2026-08-20 02:00:00,WR,0.0,145.02
2026-08-20 03:00:00,SR,0.0,84.9
2026-08-20 03:00:00,WR,0.0,91.93
2026-08-20 04:00:00,SR,0.0,44.3
2026-08-20 04:00:00,WR,0.0,135.49
2026-08-20 05:00:00,SR,0.0,81.63
2026-08-20 05:00:00,WR,0.0,48.94
2026-08-20 06:00:00,SR,0.0,92.52
2026-08-20 06:00:00,WR,0.0,97.28
2026-08-20 07:00:00,SR,59.19,56.27
2026-08-20 07:00:00,WR,43.15,63.81
2026-08-20 08:00:00,SR,88.3,48.19
2026-08-20 08:00:00,WR,83.66,81.34
2026-08-20 09:00:00,SR,117.74,126.1
2026-08-20 09:00:00,WR,154.31,162.94
2026-08-20 10:00:00,SR,168.91,108.06
2026-08-20 10:00:00,WR,184.26,106.6
2026-08-20 11:00:00,SR,181.37,52.28
2026-08-20 11:00:00,WR,181.56,145.95
2026-08-20 12:00:00,SR,221.47,56.56
2026-08-20 12:00:00,WR,233.09,71.03
2026-08-20 13:00:00,SR,263.48,123.06
2026-08-20 13:00:00,WR,236.42,85.32
2026-08-20 14:00:00,SR,245.23,38.63
2026-08-20 14:00:00,WR,197.03,165.35
2026-08-20 15:00:00,SR,190.81,38.03
2026-08-20 15:00:00,WR,153.2,52.62
2026-08-20 16:00:00,SR,144.15,76.88
2026-08-20 16:00:00,WR,101.72,46.63
2026-08-20 17:00:00,SR,54.46,38.99
2026-08-20 17:00:00,WR,58.57,69.38
2026-08-20 18:00:00,SR,0.0,48.53
2026-08-20 18:00:00,WR,0.0,157.41
2026-08-20 19:00:00,SR,0.0,118.47
2026-08-20 19:00:00,WR,0.0,55.34
2026-08-20 20:00:00,SR,0.0,106.21
2026-08-20 20:00:00,WR,0.0,85.0
2026-08-20 21:00:00,SR,0.0,124.33
2026-08-20 21:00:00,WR,0.0,120.6
2026-08-20 22:00:00,SR,0.0,33.08
2026-08-20 22:00:00,WR,0.0,88.75
2026-08-20 23:00:00,SR,0.0,84.68
2026-08-20 23:00:00,WR,0.0,54.47
2026-08-21 00:00:00,SR,0.0,49.5
2026-08-21 00:00:00,WR,0.0,34.07
2026-08-21 01:00:00,SR,0.0,79.51
2026-08-21 01:00:00,WR,0.0,86.92
