timestamp,market_zone,price_inr_per_mwh
2026-08-20 00:00:00,SR,3756.37
2026-08-20 00:00:00,WR,3783.98
2026-08-20 01:00:00,SR,3631.33
2026-08-20 01:00:00,WR,3295.47
2026-08-20 02:00:00,SR,3068.32
2026-08-20 02:00:00,WR,3085.24
2026-08-20 03:00:00,SR,3371.41
2026-08-20 03:00:00,WR,3298.18
2026-08-20 04:00:00,SR,3397.14
2026-08-20 04:00:00,WR,2863.46
2026-08-20 05:00:00,SR,3914.89
2026-08-20 05:00:00,WR,3903.13
2026-08-20 06:00:00,SR,4514.86
2026-08-20 06:00:00,WR,4495.62
2026-08-20 07:00:00,SR,5526.23
2026-08-20 07:00:00,WR,5454.01
2026-08-20 08:00:00,SR,6110.63
2026-08-20 08:00:00,WR,5746.14
2026-08-20 09:00:00,SR,6524.52
2026-08-20 09:00:00,WR,6300.01
2026-08-20 10:00:00,SR,5696.85
2026-08-20 10:00:00,WR,5216.54
2026-08-20 11:00:00,SR,5305.64
2026-08-20 11:00:00,WR,4774.7
2026-08-20 12:00:00,SR,4305.77
2026-08-20 12:00:00,WR,4093.47
2026-08-20 13:00:00,SR,4363.12
2026-08-20 13:00:00,WR,4008.98
2026-08-20 14:00:00,SR,4439.77
2026-08-20 14:00:00,WR,4146.73
2026-08-20 15:00:00,SR,5314.0
2026-08-20 15:00:00,WR,4641.47
2026-08-20 16:00:00,SR,5164.26
2026-08-20 16:00:00,WR,4811.14
2026-08-20 17:00:00,SR,5978.63
2026-08-20 17:00:00,WR,5597.78
2026-08-20 18:00:00,SR,6164.68
2026-08-20 18:00:00,WR,5819.69
2026-08-20 19:00:00,SR,6519.68
2026-08-20 19:00:00,WR,5949.81
2026-08-20 20:00:00,SR,7260.14
2026-08-20 20:00:00,WR,5994.81
2026-08-20 21:00:00,SR,6260.58
2026-08-20 21:00:00,WR,6591.01
2026-08-20 22:00:00,SR,5510.33
2026-08-20 22:00:00,WR,4683.25
2026-08-20 23:00:00,SR,4425.67
2026-08-20 23:00:00,WR,4142.01
2026-08-21 00:00:00,SR,3864.3
2026-08-21 00:00:00,WR,3384.92
2026-08-21 01:00:00,SR,8514.07
2026-08-21 01:00:00,WR,3753.77
2026-08-21 02:00:00,SR,3510.12
2026-08-21 02:00:00,WR,3457.4
2026-08-21 03:00:00,SR,3299.09
2026-08-21 03:00:00,WR,3369.33
2026-08-21 04:00:00,SR,3294.02
2026-08-21 04:00:00,WR,3226.59
2026-08-21 05:00:00,SR,4033.53
2026-08-21 05:00:00,WR,3445.02
2026-08-21 06:00:00,SR,4721.64
2026-08-21 06:00:00,WR,4459.03
2026-08-21 07:00:00,SR,5313.83
2026-08-21 07:00:00,WR,5086.29
2026-08-21 08:00:00,SR,6180.81
2026-08-21 08:00:00,WR,5364.78
2026-08-21 09:00:00,SR,6503.12
2026-08-21 09:00:00,WR,5537.18
2026-08-21 10:00:00,SR,5621.57
2026-08-21 10:00:00,WR,5070.91
2026-08-21 11:00:00,SR,4956.14
2026-08-21 11:00:00,WR,4384.46
2026-08-21 12:00:00,SR,4154.0
2026-08-21 12:00:00,WR,4048.82
2026-08-21 13:00:00,SR,4359.13
